player_id,fifa_version,short_name,long_name,player_positions,age,dob,height_cm,weight_kg,league_name,club_name,club_position,nationality_name,preferred_foot,overall,potential,birth_month,birth_quarter,birth_year,football_year_type,football_year_month,football_year_quarter,primary_position,position_group,is_tier_1,league_tier,rating_tier,is_starter,rating_decile
100799,16,L. Neal,Lewis Neal,"LM, CM",33,1981-07-14,180,70,Major League Soccer,Orlando City Soccer Club,CAM,England,Left,62,62,7,3,1981,sept,11,4,LM,Midfielders,False,Other,Middle,True,5
100803,18,K. Henry,Karl Henry,CDM,34,1982-11-26,185,80,Championship,Bolton Wanderers,SUB,England,Right,68,68,11,4,1982,sept,3,1,CDM,Midfielders,False,Other,Top 20%,False,8
100806,15,K. Commons,Kris Commons,"CAM, RM",30,1983-08-30,168,64,Premiership,Celtic,CAM,Scotland,Left,74,74,8,3,1983,jan,8,3,CAM,Midfielders,False,Other,Top 20%,True,10
100807,17,S. Kotsolis,Stefanos Kotsolis,GK,37,1979-06-05,190,77,Super League,Panathinaikos,SUB,Greece,Right,67,67,6,2,1979,jan,6,2,GK,GK,False,Other,Middle,False,8
100899,19,S. Phillips,Steve Phillips,GK,40,1978-05-06,185,75,League Two,Yeovil Town,SUB,England,Right,52,52,5,2,1978,sept,9,3,GK,GK,False,Other,Bottom 20%,False,1
100978,15,D. Boateng,Derek Owusu Boateng,"CDM, CM",31,1983-05-02,185,78,La Liga,SD Eibar,LDM,Ghana,Right,71,71,5,2,1983,jan,5,2,CDM,Midfielders,True,Tier 1,Top 20%,True,9
101317,16,M. Ratajczak,Michael Ratajczak,GK,33,1982-04-16,188,85,2. Bundesliga,MSV Duisburg,SUB,Germany,Right,66,66,4,2,1982,jan,4,2,GK,GK,False,Other,Middle,False,7
101336,17,C. Fritz,Clemens Fritz,"CM, RM, CDM",35,1980-12-07,183,81,Bundesliga,Werder Bremen,RDM,Germany,Right,75,75,12,4,1980,jan,12,4,CM,Midfielders,True,Tier 1,Top 20%,True,10
101344,17,O. Fredrikson,Otto Fredrikson,GK,34,1981-11-30,189,90,Eliteserien,Tromsø,RES,Finland,Right,65,65,11,4,1981,jan,11,4,GK,GK,False,Other,Middle,False,7
101411,15,S. Kirschstein,Sascha Kirschstein,GK,34,1980-06-09,196,89,2. Bundesliga,FC Erzgebirge Aue,SUB,Germany,Right,63,63,6,2,1980,jan,6,2,GK,GK,False,Other,Middle,False,6
101473,19,T. Kuszczak,Tomasz Kuszczak,GK,36,1982-03-20,191,84,Championship,Birmingham City,SUB,Poland,Right,70,70,3,1,1982,jan,3,1,GK,GK,False,Other,Top 20%,False,9
101488,18,D. Haas,Daniel Haas,GK,33,1983-08-01,188,86,2. Bundesliga,FC Erzgebirge Aue,SUB,Germany,Right,67,67,8,3,1983,jan,8,3,GK,GK,False,Other,Middle,False,8
101490,15,C. Casey,Conor Casey,ST,32,1981-07-25,186,77,Major League Soccer,Philadelphia Union,SUB,United States,Right,68,68,7,3,1981,jan,7,3,ST,Forwards,False,Other,Top 20%,False,8
101508,15,P. Platins,Patrick Platins,GK,31,1983-04-19,190,86,2. Bundesliga,Darmstadt 98,SUB,Germany,Right,64,64,4,2,1983,jan,4,2,GK,GK,False,Other,Middle,False,6
101769,18,T. Gorschlüter,Tim Gorschlüter,CDM,33,1983-08-24,176,66,3. Liga,Sportfreunde Lotte,SUB,Germany,Left,61,61,8,3,1983,jan,8,3,CDM,Midfielders,False,Other,Middle,False,5
101803,17,G. Šukalo,Goran Šukalo,CDM,34,1981-08-24,193,88,2. Bundesliga,1860 München,RES,Slovenia,Right,66,66,8,3,1981,jan,8,3,CDM,Midfielders,False,Other,Middle,False,7
101868,15,A. Görlitz,Andreas Görlitz,RB,32,1982-01-31,180,74,Major League Soccer,San Jose Earthquakes,RES,Germany,Right,64,64,1,1,1982,jan,1,1,RB,Defenders,False,Other,Middle,False,6
101875,15,M. Miller,Markus Miller,GK,32,1982-04-08,189,92,Bundesliga,Hannover 96,SUB,Germany,Right,71,71,4,2,1982,jan,4,2,GK,GK,True,Tier 1,Top 20%,False,9
101880,18,R. Green,Robert Green,GK,37,1980-01-18,191,93,Premier League,Huddersfield Town,RES,England,Right,73,73,1,1,1980,sept,5,2,GK,GK,True,Tier 1,Top 20%,False,10
101904,16,A. Frara,Alessandro Frara,CM,32,1982-11-07,177,72,Serie A,Frosinone,LCM,Italy,Right,67,67,11,4,1982,jan,11,4,CM,Midfielders,True,Tier 1,Middle,True,8
101997,16,D. Lucas,David Lucas,GK,37,1977-11-23,188,84,League One,Fleetwood Town,SUB,England,Left,58,58,11,4,1977,sept,3,1,GK,GK,False,Other,Middle,False,3
102056,19,S. Padoin,Simone Padoin,"RB, LM, CM",34,1984-03-18,179,73,Serie A,Cagliari,SUB,Italy,Right,71,71,3,1,1984,jan,3,1,RB,Defenders,True,Tier 1,Top 20%,False,9
102064,15,C. Terzi,Claudio Terzi,CB,30,1984-06-19,180,69,Serie A,Palermo,CB,Italy,Right,72,72,6,2,1984,jan,6,2,CB,Defenders,True,Tier 1,Top 20%,True,10
102084,15,L. Belingheri,Luca Belingheri,"CAM, CM, CF",31,1983-04-06,183,70,Serie B,Livorno,CM,Italy,Right,69,69,4,2,1983,jan,4,2,CAM,Midfielders,False,Other,Top 20%,True,9
102129,15,P. Pasanen,Petri Pasanen,"CB, LB",33,1980-09-24,187,86,,,,Finland,Right,64,64,9,3,1980,jan,9,3,CB,Defenders,False,Other,Middle,False,6
102293,15,R. Jovanović,Ranisav Jovanović,"ST, CF",33,1980-11-05,192,81,2. Bundesliga,SV Sandhausen,SUB,Serbia,Left,65,65,11,4,1980,jan,11,4,ST,Forwards,False,Other,Middle,False,7
102356,15,M. Feulner,Markus Feulner,"CM, RM, CDM, RB",32,1982-02-12,183,82,Bundesliga,FC Augsburg,LB,Germany,Right,74,74,2,1,1982,jan,2,1,CM,Midfielders,True,Tier 1,Top 20%,True,10
102587,15,M. Hill,Matthew Clayton Hill,"LB, CB, RB",33,1981-03-26,170,79,League Two,Tranmere Rovers,LB,England,Left,60,60,3,1,1981,sept,7,3,LB,Defenders,False,Other,Middle,True,4
102593,16,C. Woodman,Craig Alan Woodman,"LB, LWB",32,1982-12-22,175,68,League Two,Exeter City,LM,England,Left,63,63,12,4,1982,sept,4,2,LB,Defenders,False,Other,Middle,True,6
102881,19,K. Stamatopoulos,Kyriakos Stamatopoulos,GK,38,1979-08-28,188,80,Allsvenskan,AIK,SUB,Canada,Left,59,59,8,3,1979,jan,8,3,GK,GK,False,Other,Middle,False,4
103117,15,D. Burton,Deon John Burton,ST,37,1976-10-25,178,74,League One,Scunthorpe United,SUB,Jamaica,Right,61,61,10,4,1976,jan,10,4,ST,Forwards,False,Other,Middle,False,5
103133,15,Seol Ki Hyeon,설기현 Ki Hyeon Seol,"ST, LW, RW, CAM",35,1979-01-08,187,82,K League 1,Incheon United FC,ST,Korea Republic,Right,69,69,1,1,1979,jan,1,1,ST,Forwards,True,Tier 1,Top 20%,True,9
103496,18,A. Cossu,Andrea Cossu,"LW, CF",37,1980-05-03,170,63,Serie A,Cagliari,SUB,Italy,Right,68,68,5,2,1980,jan,5,2,LW,Forwards,True,Tier 1,Top 20%,False,8
103578,15,M. Malinowski,Marcin Malinowski,"CB, CDM, CM",38,1975-11-06,179,74,Ekstraklasa,Ruch Chorzów,LCB,Poland,Right,63,63,11,4,1975,jan,11,4,CB,Defenders,False,Other,Middle,True,6
103581,16,A. Dunne,Alan Dunne,"CB, RB",32,1982-08-23,180,73,League Two,Leyton Orient,LCB,Republic of Ireland,Right,68,68,8,3,1982,jan,8,3,CB,Defenders,False,Other,Top 20%,True,8
103582,15,M. Phillips,Mark Phillips,"CB, RB",31,1982-09-02,188,71,League Two,AFC Wimbledon,RES,England,Right,59,59,9,3,1982,sept,1,1,CB,Defenders,False,Other,Middle,False,4
103735,17,N. Timmermans,Nicolas Timmermans,"RB, CB",33,1982-11-04,182,73,Jupiler Pro League,AS Eupen,RES,Belgium,Right,67,67,11,4,1982,jan,11,4,RB,Defenders,False,Other,Middle,False,8
103930,15,H. Rauter,Herbert Rauter,"CAM, CF, RM, ST",32,1982-01-27,173,68,Bundesliga,Wiener Neustadt,CAM,Austria,Right,62,62,1,1,1982,jan,1,1,CAM,Midfielders,True,Tier 1,Middle,True,5
103935,16,A. Aquilani,Alberto Aquilani,CM,30,1984-07-07,186,77,Liga Portugal,Sporting CP,SUB,Italy,Right,79,79,7,3,1984,jan,7,3,CM,Midfielders,True,Tier 1,Top 20%,False,10
103936,17,S. Pepe,Simone Pepe,"RM, LM",32,1983-08-30,175,79,Serie A,Pescara,SUB,Italy,Right,74,74,8,3,1983,jan,8,3,RM,Midfielders,True,Tier 1,Top 20%,False,10
103938,15,L. Cufré,Leandro Damián Cufré,CB,36,1978-05-09,176,76,Liga MX,Leones Negros de la UdeG,LCB,Argentina,Right,69,69,5,2,1978,jan,5,2,CB,Defenders,False,Other,Top 20%,True,9
104047,15,S. Almirón,Sergio Bernardo Almirón,"CM, CDM",33,1980-11-07,180,82,Serie B,Catania,SUB,Argentina,Right,68,68,11,4,1980,jan,11,4,CM,Midfielders,False,Other,Top 20%,False,8
104101,17,B. Köhler,Benjamin Köhler,"CM, LM",35,1980-08-04,172,69,2. Bundesliga,FC Union Berlin,RES,Germany,Left,65,65,8,3,1980,jan,8,3,CM,Midfielders,False,Other,Middle,False,7
104296,16,L. Miller,Liam Miller,CM,34,1981-02-13,172,73,Premier Division,Cork City,RCM,Republic of Ireland,Right,63,63,2,1,1981,jan,2,1,CM,Midfielders,False,Other,Middle,True,6
104389,23,R. Jarstein,Rune Almenning Jarstein,GK,37,1984-09-29,192,88,Bundesliga,Hertha BSC,SUB,Norway,Right,72,72,9,3,1984,jan,9,3,GK,GK,True,Tier 1,Top 20%,False,10
104442,19,C. Burke,Christopher Robert Burke,RM,34,1983-12-02,175,68,Premiership,Kilmarnock,SUB,Scotland,Right,67,67,12,4,1983,jan,12,4,RM,Midfielders,False,Other,Middle,False,8
104463,15,K. Høie,Kenneth Høie,GK,34,1979-09-11,189,93,Allsvenskan,Djurgården,GK,Norway,Left,69,69,9,3,1979,jan,9,3,GK,GK,False,Other,Top 20%,True,9
104472,15,T. Bertelsen,Trond Erik Bertelsen,LB,30,1984-06-05,174,73,Eliteserien,Viking FK,LB,Norway,Left,62,62,6,2,1984,jan,6,2,LB,Defenders,False,Other,Middle,True,5
104476,21,C. Grindheim,Christian Grindheim,"CM, CAM",36,1983-07-17,179,74,Eliteserien,Haugesund,SUB,Norway,Right,66,66,7,3,1983,jan,7,3,CM,Midfielders,False,Other,Middle,False,7
104509,15,J. Storbæk,Jarl André Storbæk,"CB, LB, RB",35,1978-09-21,184,84,Eliteserien,Strømsgodset IF,RCB,Norway,Right,65,65,9,3,1978,jan,9,3,CB,Defenders,False,Other,Middle,True,7
10451,15,C. Andersson,Christoffer Andersson,"LB, RM, LM, RB",35,1978-10-22,173,72,Allsvenskan,Halmstad,SUB,Sweden,Right,61,61,10,4,1978,jan,10,4,LB,Defenders,False,Other,Middle,False,5
10457,15,M. Asper,Mattias Asper,GK,40,1974-03-20,198,94,Allsvenskan,Mjällby AIF,GK,Sweden,Right,65,65,3,1,1974,jan,3,1,GK,GK,False,Other,Middle,True,7
104586,17,E. Lund,Espen Næss Lund,CB,31,1985-05-07,195,85,Eliteserien,Sogndal,SUB,Norway,Right,56,56,5,2,1985,jan,5,2,CB,Defenders,False,Other,Bottom 20%,False,2
10466,17,S. Ishizaki,Stefan Daisuke Ishizaki,CM,34,1982-05-15,180,76,Allsvenskan,AIK,CM,Sweden,Right,71,71,5,2,1982,jan,5,2,CM,Midfielders,False,Other,Top 20%,True,9
104702,19,D. Braaten,Daniel Omoya Braaten,"RW, LW",36,1982-05-25,184,94,Eliteserien,SK Brann,SUB,Norway,Right,67,67,5,2,1982,jan,5,2,RW,Forwards,False,Other,Middle,False,8
104737,18,B. Roche,Barry Roche,GK,35,1982-04-06,193,90,League Two,Morecambe,RES,Republic of Ireland,Right,64,64,4,2,1982,jan,4,2,GK,GK,False,Other,Middle,False,6
104742,15,M. Harewood,Marlon Harewood,ST,34,1979-08-25,186,85,League Two,Hartlepool United,SUB,England,Right,60,60,8,3,1979,sept,12,4,ST,Forwards,False,Other,Middle,False,4
104900,19,M. Gurski,Michael Gurski,GK,39,1979-03-21,189,89,3. Liga,Unterhaching,SUB,Germany,Right,60,60,3,1,1979,jan,3,1,GK,GK,False,Other,Middle,False,4
105046,16,A. Østli,Anders Østli,"CB, RB",32,1983-01-08,185,85,Eliteserien,Sarpsborg 08,LCB,Norway,Right,64,64,1,1,1983,jan,1,1,CB,Defenders,False,Other,Middle,True,6
105308,17,J. Gillet,Jean-François Gillet,GK,37,1979-05-31,180,85,Jupiler Pro League,Standard de Liège,GK,Belgium,Left,75,75,5,2,1979,jan,5,2,GK,GK,False,Other,Top 20%,True,10
105318,15,J. Valdés,Jaime Andrés Valdés Zapata,"CM, CAM, RW, LW",33,1981-01-11,175,71,Primera Division,Colo-Colo,RCM,Chile,Right,76,76,1,1,1981,jan,1,1,CM,Midfielders,False,Other,Top 20%,True,10
10535,15,Xavi,Xavier Hernández Creus,CM,34,1980-01-25,170,67,La Liga,FC Barcelona,SUB,Spain,Right,86,86,1,1,1980,jan,1,1,CM,Midfielders,True,Tier 1,Top 20%,False,10
105454,17,Z. Tošić,Zoran Tošić,RM,29,1987-04-28,171,71,Premier League,CSKA Moskva,RM,Serbia,Left,79,79,4,2,1987,jan,4,2,RM,Midfielders,True,Tier 1,Top 20%,True,10
105463,16,I. Forn,Ivar Andreas Forn,GK,32,1983-06-24,191,85,Eliteserien,Mjøndalen,SUB,Norway,Right,54,54,6,2,1983,jan,6,2,GK,GK,False,Other,Bottom 20%,False,2
105466,15,D. Martinelli,Daniele Martinelli,CB,32,1982-02-27,181,74,Serie B,Trapani,RCB,Italy,Right,64,64,2,1,1982,jan,2,1,CB,Defenders,False,Other,Middle,True,6
105471,15,F. Modesto,François Modesto,"CB, RB",35,1978-08-19,183,80,Ligue 1,Bastia,RCB,France,Right,72,72,8,3,1978,jan,8,3,CB,Defenders,True,Tier 1,Top 20%,True,10
105474,15,D. Conti,Daniele Conti,"CDM, CM",35,1979-01-09,178,71,Serie A,Cagliari,CM,Italy,Right,72,72,1,1,1979,jan,1,1,CDM,Midfielders,True,Tier 1,Top 20%,True,10
105507,16,E. Lamøy,Eirik André Lamøy,"LM, CM, RM",30,1984-11-07,177,68,Eliteserien,Sandefjord,LM,Norway,Left,59,59,11,4,1984,jan,11,4,LM,Midfielders,False,Other,Middle,True,4
105533,16,Ł. Załuska,Łukasz Załuska,GK,33,1982-06-16,188,86,Bundesliga,Darmstadt 98,GK,Poland,Right,67,67,6,2,1982,jan,6,2,GK,GK,True,Tier 1,Middle,True,8
105663,15,D. Kruppke,Dennis Kruppke,"CF, ST, RM",34,1980-04-01,179,77,2. Bundesliga,Eintracht Braunschweig,RM,Germany,Right,67,67,4,2,1980,jan,4,2,CF,Forwards,False,Other,Middle,True,8
105803,15,Gurpegi,Carlos Gurpegi Nausia,"CB, CDM",33,1980-08-19,181,75,La Liga,Athletic Club,RCM,Spain,Right,76,76,8,3,1980,jan,8,3,CB,Defenders,True,Tier 1,Top 20%,True,10
105827,15,P. Brożek,Paweł Brożek,ST,31,1983-04-21,180,72,Ekstraklasa,Wisła Kraków,ST,Poland,Right,66,66,4,2,1983,jan,4,2,ST,Forwards,False,Other,Middle,True,7
105830,15,Ł. Nawotczyński,Łukasz Nawotczyński,"CB, RB",32,1982-03-30,190,83,Ekstraklasa,Zawisza Bydgoszcz,RES,Poland,Right,61,61,3,1,1982,jan,3,1,CB,Defenders,False,Other,Middle,False,5
105833,15,P. Strąk,Paweł Strąk,"CB, CDM",31,1983-03-24,189,84,Ekstraklasa,Zawisza Bydgoszcz,LCB,Poland,Right,57,57,3,1,1983,jan,3,1,CB,Defenders,False,Other,Middle,True,3
105834,15,P. Brożek,Piotr Brożek,LB,31,1983-04-21,178,74,Ekstraklasa,Piast Gliwice,SUB,Poland,Left,62,62,4,2,1983,jan,4,2,LB,Defenders,False,Other,Middle,False,5
105846,15,A. Boruc,Artur Boruc,GK,34,1980-02-20,193,87,Championship,AFC Bournemouth,SUB,Poland,Right,76,76,2,1,1980,jan,2,1,GK,GK,False,Other,Top 20%,False,10
105862,16,Marcelinho Paraíba,Marcelo dos Santos,"CAM, ST",40,1975-05-17,175,75,Rest of World,Joinville,CAM,Brazil,Left,71,71,5,2,1975,jan,5,2,CAM,Midfielders,False,Other,Top 20%,True,9
105866,18,C. Bovo,Cesare Bovo,CB,34,1983-01-14,181,79,Serie B,Pescara,SUB,Italy,Right,72,72,1,1,1983,jan,1,1,CB,Defenders,False,Other,Top 20%,False,10
105898,15,M. Iwański,Maciej Stanislaw Iwański,"CM, CDM",33,1981-05-07,171,70,Ekstraklasa,Podbeskidzie,RDM,Poland,Right,59,59,5,2,1981,jan,5,2,CM,Midfielders,False,Other,Middle,True,4
105945,15,K. Geraerts,Karel Geraerts,"CM, CDM, CAM",32,1982-01-05,182,80,Jupiler Pro League,Sporting Charleroi,RDM,Belgium,Right,68,68,1,1,1982,jan,1,1,CM,Midfielders,False,Other,Top 20%,True,8
106112,15,J. François,Julien François,CDM,34,1979-09-21,192,84,Ligue 2,GFC Ajaccio,SUB,France,Left,65,65,9,3,1979,jan,9,3,CDM,Midfielders,False,Other,Middle,False,7
106134,15,A. Frampton,Andy Frampton,"CB, LB",34,1979-09-03,186,86,League Two,AFC Wimbledon,SUB,England,Left,60,60,9,3,1979,sept,1,1,CB,Defenders,False,Other,Middle,False,4
106202,15,M. Saganowski,Marek Saganowski,"ST, CF",35,1978-10-31,178,78,Ekstraklasa,Legia Warszawa,SUB,Poland,Right,64,64,10,4,1978,jan,10,4,ST,Forwards,False,Other,Middle,False,6
106213,16,Iraola,Andoni Iraola Sagarna,"RB, CB",33,1982-06-22,182,74,Major League Soccer,New York City,SUB,Spain,Right,80,80,6,2,1982,jan,6,2,RB,Defenders,False,Other,Top 20%,False,10
106231,15,Aduriz,Aritz Aduriz Zubeldia,ST,33,1981-02-11,182,78,La Liga,Athletic Club,ST,Spain,Right,82,82,2,1,1981,jan,2,1,ST,Forwards,True,Tier 1,Top 20%,True,10
106311,16,Jon Iru,Jon Koldo Iruarrizaga Arteche,"CDM, RB, CB",22,1993-03-31,179,77,La Liga 2,Athletic Club de Bilbao B,RB,Spain,Right,63,71,3,1,1993,jan,3,1,CDM,Midfielders,False,Other,Middle,True,6
106418,15,T. Moreno,Malher Tressor Moreno Baldrich,CAM,34,1979-11-01,175,77,Liga BetPlay,Fortaleza CEIF,SUB,Colombia,Right,67,67,11,4,1979,jan,11,4,CAM,Midfielders,False,Other,Middle,False,8
106431,15,M. Szyndrowski,Marek Szyndrowski,"CB, RB",33,1980-10-30,184,75,Ekstraklasa,Ruch Chorzów,SUB,Poland,Left,64,64,10,4,1980,jan,10,4,CB,Defenders,False,Other,Middle,False,6
106436,16,Ł. Surma,Łukasz Dawid Surma,CDM,38,1977-06-28,177,70,Ekstraklasa,Ruch Chorzów,RDM,Poland,Right,63,63,6,2,1977,jan,6,2,CDM,Midfielders,False,Other,Middle,True,6
106560,15,G. Pujol,Grégory Pujol,ST,34,1980-01-25,183,70,Ligue 2,GFC Ajaccio,RS,France,Right,69,69,1,1,1980,jan,1,1,ST,Forwards,False,Other,Top 20%,True,9
106573,16,Victor Valdés,Víctor Valdés Arribas,GK,33,1982-01-14,183,78,Jupiler Pro League,Standard Liège,GK,Spain,Right,81,81,1,1,1982,jan,1,1,GK,GK,False,Other,Top 20%,True,10
106795,21,G. Pegolo,Gianluca Pegolo,GK,39,1981-03-25,183,76,Serie A,U.S. Sassuolo Calcio,SUB,Italy,Left,70,70,3,1,1981,jan,3,1,GK,GK,True,Tier 1,Top 20%,False,9
106874,15,D. Brivio,Davide Brivio,LB,26,1988-03-17,185,82,Serie A,Hellas Verona,SUB,Italy,Left,72,75,3,1,1988,jan,3,1,LB,Defenders,True,Tier 1,Top 20%,False,10
107084,16,M. Langer,Michael Langer,GK,30,1985-01-06,194,92,Eliteserien,Vålerenga,SUB,Austria,Right,69,69,1,1,1985,jan,1,1,GK,GK,False,Other,Top 20%,False,9
107261,17,C. Merville,Cyrille Merville,GK,34,1982-04-14,180,78,Ligue 2,Valenciennes,SUB,France,Right,66,66,4,2,1982,jan,4,2,GK,GK,False,Other,Middle,False,7
107263,18,F. Ben Khalfallah,Fahid Ben Khalfallah,"LW, RW",34,1982-10-09,172,73,A-League,Brisbane Roar,RM,Tunisia,Right,71,71,10,4,1982,jan,10,4,LW,Forwards,False,Other,Top 20%,True,9
107280,15,B. Genton,Benjamin Genton,"CB, CDM",34,1980-05-20,188,72,Ligue 2,Le Havre,SUB,France,Right,63,63,5,2,1980,jan,5,2,CB,Defenders,False,Other,Middle,False,6
107298,17,Y. Pelé,Yohann Pelé,GK,33,1982-11-04,196,89,Ligue 1,Olympique Marseille,GK,France,Right,74,74,11,4,1982,jan,11,4,GK,GK,True,Tier 1,Top 20%,True,10
107305,15,M. Tacalfred,Mickaël Tacalfred,CB,33,1981-04-23,175,69,Ligue 1,Reims,RCB,France,Right,71,71,4,2,1981,jan,4,2,CB,Defenders,True,Tier 1,Top 20%,True,9
107320,15,J. Audel,Johan Audel,"LM, LW, ST",30,1983-12-12,180,75,Ligue 1,Nantes,RS,France,Left,69,69,12,4,1983,jan,12,4,LM,Midfielders,True,Tier 1,Top 20%,True,9
107391,16,C. Maury,Clément Maury,GK,29,1985-11-20,181,77,Ligue 1,GFC Ajaccio,GK,France,Right,68,68,11,4,1985,jan,11,4,GK,GK,True,Tier 1,Top 20%,True,8
107579,18,F. Agliardi,Federico Agliardi,GK,34,1983-02-11,191,86,Serie B,Cesena,SUB,Italy,Left,69,69,2,1,1983,jan,2,1,GK,GK,False,Other,Top 20%,False,9
10764,15,Juanfran,Juan Francisco García García,"CB, LB",37,1976-07-15,183,78,La Liga,Levante Unión Deportiva,LCB,Spain,Left,74,74,7,3,1976,jan,7,3,CB,Defenders,True,Tier 1,Top 20%,True,10
107647,15,H. Altıntop,Hamit Altıntop,"RM, RB, CM, CDM",31,1982-12-08,183,82,Super Lig,Galatasaray,RDM,Turkey,Right,73,73,12,4,1982,jan,12,4,RM,Midfielders,False,Other,Top 20%,True,10
107651,18,H. Altıntop,Halil Altıntop,"CAM, CM",34,1982-12-08,186,75,2. Bundesliga,Kaiserslautern,SUB,Turkey,Right,71,71,12,4,1982,jan,12,4,CAM,Midfielders,False,Other,Top 20%,False,9
107713,16,T. Starke,Tom Starke,GK,34,1981-03-18,194,98,Bundesliga,FC Bayern München,RES,Germany,Right,75,75,3,1,1981,jan,3,1,GK,GK,True,Tier 1,Top 20%,False,10
107758,15,M. Thorandt,Markus Thorandt,CB,33,1981-04-01,187,85,2. Bundesliga,St. Pauli,SUB,Germany,Right,67,67,4,2,1981,jan,4,2,CB,Defenders,False,Other,Middle,False,8
107769,15,K. Nicht,Kristian Nicht,GK,32,1982-04-03,196,89,Major League Soccer,Montreal Impact,SUB,Germany,Right,63,63,4,2,1982,jan,4,2,GK,GK,False,Other,Middle,False,6
10780,15,César Navas,César González Navas,CB,34,1980-02-14,197,88,Premier League,Rubin Kazan',RCB,Spain,Right,74,74,2,1,1980,jan,2,1,CB,Defenders,True,Tier 1,Top 20%,True,10
107904,15,D. Dogan,Deniz Dogan,CB,34,1979-10-20,182,79,2. Bundesliga,Eintracht Braunschweig,SUB,Germany,Left,67,67,10,4,1979,jan,10,4,CB,Defenders,False,Other,Middle,False,8
108060,16,V. Salatić,Veroljub Salatić,CDM,29,1985-11-14,186,86,Super League,Sion,RCM,Switzerland,Right,68,68,11,4,1985,jan,11,4,CDM,Midfielders,False,Other,Top 20%,True,8
108061,22,R. Ziegler,Reto Ziegler,CB,35,1986-01-16,183,80,Super League,FC Lugano,LCB,Switzerland,Left,69,69,1,1,1986,jan,1,1,CB,Defenders,False,Other,Top 20%,True,9
108080,15,S. Lichtsteiner,Stephan Lichtsteiner,"RM, RB",30,1984-01-16,183,77,Serie A,Juventus,RM,Switzerland,Right,77,77,1,1,1984,jan,1,1,RM,Midfielders,True,Tier 1,Top 20%,True,10
10824,15,P. Mtiliga,Patrick Jan Mtiliga,LB,33,1981-01-28,171,72,Superliga,FC Nordsjælland,SUB,Denmark,Left,66,66,1,1,1981,jan,1,1,LB,Defenders,False,Other,Middle,False,7
108361,20,P. Grünwald,Pascal Grünwald,GK,36,1982-11-13,188,79,Bundesliga,Wattens,SUB,Austria,Right,63,63,11,4,1982,jan,11,4,GK,GK,True,Tier 1,Middle,False,6
10863,16,E. Maresca,Enzo Maresca,"CM, CDM",35,1980-02-10,180,77,Serie A,Palermo,CM,Italy,Right,75,75,2,1,1980,jan,2,1,CM,Midfielders,True,Tier 1,Top 20%,True,10
